steps,learning_rates_per_step
0,0.0
1,5.9999999999999995e-05
2,0.00011999999999999999
3,0.00017999999999999998
4,0.00023999999999999998
5,0.0003
6,0.00029795419551040833
7,0.00029187258625509513
8,0.00028192106268097334
9,0.00026837107640945905
10,0.00025159223574386114
11,0.00023204222371836402
12,0.0002102543136979454
13,0.00018682282307111987
14,0.00016238690182084986
15,0.00013761309817915014
16,0.00011317717692888012
17,8.97456863020546e-05
18,6.795777628163599e-05
19,4.840776425613886e-05
20,3.162892359054098e-05
21,1.8078937319026654e-05
22,8.127413744904804e-06
23,2.0458044895916513e-06
24,0.0
